,year,kind,genre,country,language,rating,vote
718,66,1,2,6,33,8,159751
719,84,1,7,10,39,6,1511
720,79,4,2,6,33,7,40212
721,64,2,7,8,16,8,1074
722,51,4,2,9,16,8,12869
723,70,3,1,8,16,5,1130
724,84,7,0,9,16,3,157
725,85,1,4,4,26,6,322
726,85,1,6,9,16,8,551
727,84,7,6,9,16,8,158
728,72,3,0,9,16,5,2301
729,62,1,4,9,16,6,30382
730,41,4,7,9,41,9,75772
731,87,7,2,9,16,6,22
733,78,1,6,9,16,6,82
734,86,7,6,9,16,8,318
735,83,1,6,9,16,7,556
736,86,1,13,9,16,5,141653
737,74,1,7,4,26,6,31
738,81,1,4,9,16,5,90518
739,78,7,14,8,16,8,692
740,82,7,6,8,16,7,1080
741,85,1,0,6,16,5,1272
742,78,1,7,3,7,5,265
743,81,0,6,7,41,6,31
744,85,0,1,8,16,6,2054
745,74,1,7,9,16,5,442
746,85,7,6,8,16,8,1917
747,82,7,6,10,16,8,149
748,59,4,2,6,16,8,1638
749,71,2,1,9,16,8,21487
750,81,3,7,9,16,6,1038
751,81,7,6,9,16,4,105
752,84,0,5,8,16,7,284
753,81,1,0,9,16,4,657
754,76,3,8,9,16,5,1818
755,72,1,6,9,16,6,328
756,86,4,5,8,16,7,7048
757,86,1,6,9,16,7,6184
758,87,0,2,7,41,3,21
759,70,4,2,6,33,7,632
760,83,1,4,4,26,5,2370
761,87,3,4,9,16,4,1117
762,39,4,4,9,16,7,953
763,85,1,1,10,15,7,2187
764,85,1,7,5,32,5,406
765,83,7,2,9,16,6,3007
766,85,1,1,9,16,5,1136
767,55,1,4,5,32,7,41688
768,73,1,0,9,16,5,4056
769,86,1,4,10,48,6,918
770,77,4,2,9,16,6,646
771,80,1,19,1,20,6,2054
772,84,3,6,9,16,8,52
774,73,1,7,4,26,7,2723
775,87,0,1,10,16,6,34
776,82,3,6,8,16,8,60
777,87,7,13,9,16,4,10432
778,70,3,0,9,16,5,3119
779,78,1,7,8,16,8,655567
780,77,1,7,9,16,7,528
781,74,1,4,10,50,8,5510
782,80,3,6,9,16,7,1700
783,85,1,7,10,29,7,9279
784,84,1,6,9,16,6,936
786,86,2,9,9,16,5,6110
787,85,1,7,1,20,6,1690
788,40,1,4,8,16,7,3368
789,72,1,0,9,16,7,347102
790,84,7,4,9,16,8,6126
791,84,1,7,6,33,8,23139
792,76,3,7,0,16,6,171
793,83,1,7,10,16,7,5018
794,52,1,7,9,16,7,992
796,61,1,4,10,45,7,6856
797,86,7,21,10,16,6,83
798,81,7,8,9,16,5,107
799,52,1,5,1,20,8,23993
800,85,2,5,8,16,7,498
801,62,1,6,9,16,7,248
802,12,1,4,1,20,7,13427
803,85,1,4,9,16,5,13243
804,76,1,3,1,20,6,6628
805,81,1,2,6,33,5,335
806,86,1,0,6,33,5,488
807,15,1,5,2,22,8,12054
809,41,1,4,6,33,7,8834
810,73,3,16,9,16,5,240
811,70,1,4,3,7,6,179
812,70,1,2,9,16,6,366
813,41,4,7,9,41,9,75772
814,80,1,7,4,26,6,233
815,86,1,4,9,16,6,45395
816,76,1,4,10,16,5,10530
817,49,1,2,9,16,6,3080
818,64,1,6,1,16,7,209
819,81,1,6,9,41,8,48
820,84,3,7,9,16,6,583
821,77,1,17,10,39,5,53
822,61,4,7,8,16,6,143
823,80,1,4,10,48,7,3467
824,81,1,0,6,33,5,104
825,82,1,7,1,20,6,1209
826,85,1,21,9,16,6,203
827,75,1,4,8,16,5,4219
828,80,3,5,9,16,6,955
829,43,1,7,9,16,7,1500
830,72,1,0,6,33,6,515
831,80,7,13,9,16,2,421
832,80,0,6,7,41,5,7
833,60,4,2,6,33,7,1107
834,25,1,7,9,16,7,5177
835,81,1,0,3,7,6,492
836,82,1,6,10,20,7,781
837,84,3,7,9,16,6,277
838,66,3,6,8,16,8,2811
839,68,4,8,7,41,8,4391
840,84,7,13,9,16,3,1148
841,82,7,2,6,33,6,87
842,87,3,20,9,16,3,1848
843,83,7,6,9,16,8,9
844,63,1,19,8,16,7,10172
845,80,2,6,8,16,8,2861
846,68,1,0,6,33,6,293
847,81,1,7,1,20,7,9854
848,68,1,0,3,39,6,1079
849,72,1,6,9,16,3,1200
850,80,1,5,8,16,5,717
851,82,3,24,9,16,5,334
852,83,7,8,0,41,8,506
853,59,1,0,3,39,5,1788
854,85,7,6,9,16,7,76
855,20,1,5,1,20,7,8722
856,76,1,3,5,32,7,35067
857,83,7,7,1,20,6,116
858,87,1,6,9,16,7,778
859,82,1,4,3,7,6,1364
860,83,4,7,9,16,6,131
861,75,2,2,6,33,7,1199
862,85,1,7,4,26,5,1124
863,65,1,7,8,16,7,5088
864,84,1,5,9,16,6,1880
865,80,1,3,8,16,6,3612
866,60,1,4,8,16,6,3060
867,76,1,7,8,16,5,305
868,86,7,22,9,16,5,45
869,71,1,7,10,22,7,1611
870,76,1,4,8,16,7,145407
871,83,3,9,9,16,5,3499
872,86,1,7,1,20,6,9236
873,84,1,7,10,54,7,108655
874,84,1,7,10,16,7,26662
875,86,4,2,6,33,8,43794
876,65,2,7,9,16,8,3890
877,84,7,4,9,16,7,1152
878,81,1,0,3,7,6,516
879,85,7,6,9,16,7,181
880,84,3,0,9,16,3,620
881,85,0,6,7,41,7,26
